route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
8,29499260,"Gières, Université - IUT-STAPS",1234567-MSHSAH02_ST5_2_HI2425,0,SEM_C8_4,1,2
E,29951509,"Fontanil-Cornillon, Palluel",12345-MGHLV12_ST0_1_HI2425,1,SEM_E_1,1,2
3,29642945,"Grenoble, Victor Hugo",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_C3_1,1,2
73,29179208,"Vif, Vif Mairie",12345-MFHLV05_ST0_0_HI2425-MFHLV12_ST0_0_HI2425-MFHLV13_ST0_0_HI2425,1,SEM_73_1,1,2
10,29526415,"Bernin, Cloyères",12345-MFHLV05_ST0_0_HI2425,1,SEM_C10_2,1,2
20,29612436,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,0,SEM_20_1,1,2
5,29656293,"Gières, Université - Biologie",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_C5_2,1,2
D,29824591,"Saint-Martin-d'Hères, Etienne Grappe",12345-MGHLV10_ST0_13_HI2425,0,SEM_D_6,1,2
22,29645650,"Saint-Égrève, Saint Egrève Gare",1234567-MSHSAH02_ST5_2_HI2425-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,0,SEM_22_1,1,2
16,29188962,"Le Pont-de-Claix, Gendarmerie",123456*-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_16_6,1,2
8,29782767,"Grenoble, Victor Hugo - Belgrade",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_C8_1,1,2
15,28977929,"Grenoble, Verdun - Préfecture",1234567-MAHD06_ST6_0_HI2425,1,SEM_15_4,1,2
A,29936232,"Fontaine, La Poya",12345-MEHLV12_ST8_2_HI2425-MEHW12_ST11_2_HI2425,1,SEM_A_4,1,2
E,29951304,"Fontanil-Cornillon, Palluel",12345-MGHLV12_ST0_1_HI2425,1,SEM_E_1,1,2
8,30046172,"Grenoble, Victor Hugo - Belgrade",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425,1,SEM_C8_1,1,2
C,29830970,"Saint-Martin-d'Hères, Université - Condillac",12345-MGHLV09_ST0_15_HI2425,0,SEM_C_1,1,2
C,29830915,"Seyssins, Le Prisme",12345-MGHLV09_ST0_15_HI2425,1,SEM_C_2,1,2
7,29747591,"Saint-Martin-d'Hères, Henri Wallon",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_C7_3,1,2
E,29033872,"Fontanil-Cornillon, Palluel",12345-MGHLV02_ST0_10_HI2425,1,SEM_E_1,1,2
A,29847084,"Le Pont-de-Claix, L'Etoile",12345-MEHLV10_ST0_3_HI2425,0,SEM_A_3,1,2
14,29089165,"Le Gua, Les Saillants",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,0,SEM_C14_5,1,2
8,30058105,"Gières, Université - IUT-STAPS",1234567-MSHSAH11_ST5_0_HI2425-MSHSAH12_ST5_0_HI2425,0,SEM_C8_4,1,2
80,29718489,"Crolles, Le Brocey",12345-MIHLV11_ST0_0_HI2425,1,SEM_80_2,1,2
A,29542725,"Le Pont-de-Claix, L'Etoile",12345-MEHLV11_ST8_1_HI2425-MEHLV12_ST8_3_HI2425-MEHW11_ST11_1_HI2425-MEHW12_ST11_3_HI2425,0,SEM_A_3,1,2
D,28879570,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,0,SEM_D_6,1,2
6-HI2425,28794696,"Grenoble, Oxford",12345-MSHLVH11_ST8_1_HI2425-MSHLW11_ST11_1_HI2425-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_C6_4,1,2
A,29936233,"Fontaine, La Poya",12345-MEHLV12_ST8_2_HI2425-MEHW12_ST11_2_HI2425,1,SEM_A_4,1,2
3,29642967,"Échirolles, Centre du graphisme",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,1,SEM_C3_2,1,2
B,29337550,"Grenoble, Oxford",1234567-MGHS02_ST5_3_HI2425-MGHS12_ST5_4_HI2425,1,SEM_B_2,1,2
B,29829462,"Gières, Plaine des Sports",12345-MGHLV09_ST0_15_HI2425,0,SEM_B_1,1,2
67,29056207,"Grenoble, Grand'place",1234567-MFHS05_ST5_0_HI2425-MFHS12_ST5_0_HI2425-MFHS13_ST5_0_HI2425,0,SEM_67_2,1,2
18,29444714,"Poisat, Cimetière Intercommunal",12345-MEHLV09_ST0_2_HI2425-MEHLV10_ST0_2_HI2425-MEHLV10_ST0_3_HI2425,0,SEM_18_3,1,2
2,29322806,"Claix, Pont Rouge",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,0,SEM_C2_2,1,2
22,29658265,"Grenoble, Oxford",12345-MSILV09_ST21_0_HI2425-MSILV10_ST21_0_HI2425,1,SEM_22_2,1,2
11,29623229,"Voiron, Voiron Gare Routière Sud",12345-MIHLV09_ST0_5_HI2425,0,SEM_C11_2,1,2
