stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
1,1,"Seyssins, Comboire",45.14629,5.69071,,,COM,1
100,100,"Saint-Martin-le-Vinoux, La Gomma",45.21528,5.71941,,,LAGOMMA,2
1000,1000,"Miribel-Lanchâtre, Bayanne",44.97996,5.62235,,,BAYANNE,2
1001,1001,"Miribel-Lanchâtre, Miribel",44.9747,5.62087,,,MIRIBEL,2
1002,1002,"Miribel-Lanchâtre, Miribel",44.97466,5.621,,,MIRIBEL,2
101,101,"Eybens, La Châtelière",45.16219,5.74912,,,CHATELIE,1
1012,1012,"Saint-Martin-le-Vinoux, Col de Clémencières",45.2342,5.72564,,,COLCLEME,2
1019,1019,"Varces-Allières-et-Risset, Notre-Dame de Lachal",45.08732,5.69015,,,NODAMLAC,2
102,102,"Eybens, La Châtelière",45.16217,5.74903,,,CHATELIE,1
1020,1020,"Varces-Allières-et-Risset, Notre-Dame de Lachal",45.08736,5.69011,,,NODAMLAC,2
1021,1021,"Varces-Allières-et-Risset, Berliognière",45.08984,5.69258,,,BERLIOGN,2
1022,1022,"Varces-Allières-et-Risset, Berliognière",45.08998,5.6925,,,BERLIOGN,2
1023,1023,"Meylan, Grésivaudan",45.20969,5.7612,,,GRESIVAU,1
1024,1024,"Varces-Allières-et-Risset, Balzac",45.08729,5.69415,,,BALZAZ,2
1027,1027,"Saint-Égrève, Pont de Vence",45.23038,5.6835,,,PTVENCE,1
1028,1028,"Saint-Égrève, Visancourt",45.23296,5.68577,,,VISANCOU,1
1029,1029,"Saint-Égrève, Muret",45.22573,5.68641,,,MURET,1
103,103,"Eybens, Les Javaux",45.15112,5.74959,,,JAVAUX,1
1032,1032,"Varces-Allières-et-Risset, Balzac",45.08728,5.69421,,,BALZAZ,2
1034,1034,"Varces-Allières-et-Risset, Rozatière",45.08711,5.70253,,,ROZATIER,2
1035,1035,"Échirolles, Antoine Polotti",45.14834,5.7232,,,POLOTTI,1
1037,1037,"Gières, Université - Biologie",45.19195,5.77525,,,BIOLOGIE,1
1039,1039,"Fontaine, Curie - Vercors",45.19243,5.6934,,,CURIVERC,1
104,104,"Eybens, Odyssée",45.15336,5.74848,,,ODYSSEE,1
1040,1040,"Varces-Allières-et-Risset, Rozatière",45.08706,5.70241,,,ROZATIER,2
1041,1041,"Varces-Allières-et-Risset, Fontagneux",45.08729,5.70779,,,FONTAGNE,2
1042,1042,"Varces-Allières-et-Risset, Fontagneux",45.08729,5.70786,,,FONTAGNE,2
1043,1043,"Varces-Allières-et-Risset, Malissolles",45.08385,5.70458,,,MALISSOL,2
1044,1044,"Varces-Allières-et-Risset, Malissolles",45.08396,5.7047,,,MALISSOL,2
1045,1045,"Gières, Le Japin",45.18782,5.80781,,,LEJAPIN,1
1046,1046,"Saint-Martin-d'Hères, Les Alloves",45.17204,5.76518,,,ALLOVES,1
1047,1047,"Échirolles, Monmousseau",45.15327,5.7115,,,MONMOUSS,1
1049,1049,"Grenoble, Gustave Rivet",45.1812,5.72806,,,GUSTRIVE,1
105,105,"Eybens, Val d'Eybens",45.15927,5.74557,,,VALEYBEN,1
1050,1050,"Grenoble, Massenet",45.16799,5.72124,,,MASSENET,1
1051,1051,"Échirolles, Monmousseau",45.15355,5.71188,,,MONMOUSS,1
1053,1053,"Varces-Allières-et-Risset, Le Gros Chêne",45.07834,5.70205,,,GROSCHEN,2
1056,1056,"Varces-Allières-et-Risset, Le Gros Chêne",45.07832,5.7021,,,GROSCHEN,2
